,Tuple,Count,Start X,Start Y,End X,End Y
0,"(40.70481, -74.01624, 40.70482, -74.01612)",203,40.70481,-74.01624,40.70482,-74.01612
1,"(40.78307, -73.98454, 40.78303, -73.98456)",50,40.78307,-73.98454,40.78303,-73.98456
2,"(40.71646, -73.95042, 40.71602, -73.95106)",2,40.71646,-73.95042,40.71602,-73.95106
3,"(40.73026, -73.99799, 40.7303, -73.99808)",100,40.73026,-73.99799,40.7303,-73.99808
4,"(40.73924, -73.99918, 40.73989, -73.99873)",57,40.73924,-73.99918,40.73989,-73.99873
5,"(40.75603, -73.98695, 40.75582, -73.98644)",886,40.75603,-73.98695,40.75582,-73.98644
6,"(40.76433, -73.99872, 40.76425, -73.9988)",2,40.76433,-73.99872,40.76425,-73.9988
7,"(40.7534, -73.9837, 40.75327, -73.9834)",2,40.7534,-73.9837,40.75327,-73.9834
8,"(40.76485, -73.97051, 40.76547, -73.97006)",99,40.76485,-73.97051,40.76547,-73.97006
9,"(40.69367, -73.98291, 40.69368, -73.98325)",9,40.69367,-73.98291,40.69368,-73.98325
10,"(40.72301, -73.98577, 40.72293, -73.98581)",237,40.72301,-73.98577,40.72293,-73.98581
11,"(40.7453, -73.98877, 40.74602, -73.99052)",9,40.7453,-73.98877,40.74602,-73.99052
12,"(40.77628, -73.9673, 40.77625, -73.96731)",6,40.77628,-73.9673,40.77625,-73.96731
13,"(40.69972, -73.95719, 40.70002, -73.95724)",9,40.69972,-73.95719,40.70002,-73.95724
14,"(40.69617, -73.98167, 40.69616, -73.9817)",1,40.69617,-73.98167,40.69616,-73.9817
15,"(40.72142, -73.99728, 40.72147, -73.99741)",88,40.72142,-73.99728,40.72147,-73.99741
16,"(40.70783, -74.00177, 40.70775, -74.0017)",55,40.70783,-74.00177,40.70775,-74.0017
17,"(40.77448, -73.97388, 40.77445, -73.97383)",297,40.77448,-73.97388,40.77445,-73.97383
18,"(40.75407, -73.97584, 40.75409, -73.97584)",8,40.75407,-73.97584,40.75409,-73.97584
19,"(40.75159, -74.00787, 40.75174, -74.00783)",55,40.75159,-74.00787,40.75174,-74.00783
20,"(40.76085, -73.99832, 40.76039, -73.99722)",50,40.76085,-73.99832,40.76039,-73.99722
21,"(40.77236, -73.96896, 40.77228, -73.969)",101,40.77236,-73.96896,40.77228,-73.969
22,"(40.77302, -73.95218, 40.77302, -73.95218)",59,40.77302,-73.95218,40.77302,-73.95218
23,"(40.70579, -74.00551, 40.70556, -74.00585)",51,40.70579,-74.00551,40.70556,-74.00585
24,"(40.72506, -74.01008, 40.72507, -74.01014)",4,40.72506,-74.01008,40.72507,-74.01014
25,"(40.76921, -73.96535, 40.76913, -73.96514)",2,40.76921,-73.96535,40.76913,-73.96514
26,"(40.70378, -74.00683, 40.7037, -74.00696)",3,40.70378,-74.00683,40.7037,-74.00696
27,"(40.70668, -73.9529, 40.70656, -73.95251)",2,40.70668,-73.9529,40.70656,-73.95251
28,"(40.73152, -73.97365, 40.73151, -73.97364)",326,40.73152,-73.97365,40.73151,-73.97364
29,"(40.71348, -73.9655, 40.71348, -73.9655)",34,40.71348,-73.9655,40.71348,-73.9655
30,"(40.77541, -73.948, 40.77526, -73.94763)",52,40.77541,-73.948,40.77526,-73.94763
31,"(40.68865, -73.98024, 40.68875, -73.98052)",9,40.68865,-73.98024,40.68875,-73.98052
32,"(40.76821, -73.98233, 40.76823, -73.98232)",15,40.76821,-73.98233,40.76823,-73.98232
33,"(40.71876, -73.97512, 40.71876, -73.97512)",40,40.71876,-73.97512,40.71876,-73.97512
34,"(40.70779, -74.00029, 40.70775, -74.00037)",82,40.70779,-74.00029,40.70775,-74.00037
35,"(40.75468, -73.99536, 40.75406, -73.99584)",956,40.75468,-73.99536,40.75406,-73.99584
36,"(40.78057, -73.98021, 40.7812, -73.97975)",135,40.78057,-73.98021,40.7812,-73.97975
37,"(40.77547, -73.95209, 40.77551, -73.95219)",12,40.77547,-73.95209,40.77551,-73.95219
38,"(40.71824, -74.00525, 40.71774, -74.00414)",28,40.71824,-74.00525,40.71774,-74.00414
39,"(40.75273, -73.99679, 40.75284, -73.99673)",245,40.75273,-73.99679,40.75284,-73.99673
40,"(40.70145, -73.9897, 40.70148, -73.98969)",64,40.70145,-73.9897,40.70148,-73.98969
41,"(40.74755, -73.97078, 40.74755, -73.97078)",41,40.74755,-73.97078,40.74755,-73.97078
42,"(40.7109, -73.97999, 40.71086, -73.98017)",6,40.7109,-73.97999,40.71086,-73.98017
43,"(40.74077, -74.00942, 40.74084, -74.00941)",934,40.74077,-74.00942,40.74084,-74.00941
44,"(40.70437, -74.01667, 40.70432, -74.01667)",51,40.70437,-74.01667,40.70432,-74.01667
45,"(40.73825, -73.97408, 40.73818, -73.97411)",2,40.73825,-73.97408,40.73818,-73.97411
46,"(40.76266, -74.00053, 40.76256, -74.00029)",68,40.76266,-74.00053,40.76256,-74.00029
47,"(40.71142, -73.97829, 40.71144, -73.97827)",1,40.71142,-73.97829,40.71144,-73.97827
48,"(40.71473, -73.98306, 40.71469, -73.9831)",2,40.71473,-73.98306,40.71469,-73.9831
49,"(40.7276, -73.98529, 40.7276, -73.98529)",293,40.7276,-73.98529,40.7276,-73.98529
50,"(40.7056, -73.94626, 40.7056, -73.94626)",27,40.7056,-73.94626,40.7056,-73.94626
51,"(40.69303, -73.98874, 40.69282, -73.98876)",1,40.69303,-73.98874,40.69282,-73.98876
52,"(40.69091, -73.95541, 40.69091, -73.95541)",10,40.69091,-73.95541,40.69091,-73.95541
53,"(40.68845, -73.98269, 40.68879, -73.98357)",8,40.68845,-73.98269,40.68879,-73.98357
54,"(40.70357, -73.99065, 40.70389, -73.99065)",6,40.70357,-73.99065,40.70389,-73.99065
55,"(40.73081, -73.9905, 40.73081, -73.9905)",702,40.73081,-73.9905,40.73081,-73.9905
56,"(40.78442, -73.96729, 40.78437, -73.96733)",19,40.78442,-73.96729,40.78437,-73.96733
57,"(40.73698, -73.9745, 40.73674, -73.97463)",5,40.73698,-73.9745,40.73674,-73.97463
58,"(40.78416, -73.96727, 40.7841, -73.96732)",1,40.78416,-73.96727,40.7841,-73.96732
59,"(40.74787, -73.97061, 40.74859, -73.97008)",5,40.74787,-73.97061,40.74859,-73.97008
60,"(40.70139, -73.99648, 40.70128, -73.99654)",33,40.70139,-73.99648,40.70128,-73.99654
61,"(40.77303, -73.97831, 40.77424, -73.98113)",197,40.77303,-73.97831,40.77424,-73.98113
62,"(40.74807, -73.99907, 40.74841, -74.0)",109,40.74807,-73.99907,40.74841,-74.0
63,"(40.69627, -73.98029, 40.69627, -73.98026)",15,40.69627,-73.98029,40.69627,-73.98026
64,"(40.71115, -74.01804, 40.71191, -74.0179)",11,40.71115,-74.01804,40.71191,-74.0179
65,"(40.70445, -73.96745, 40.70467, -73.96748)",182,40.70445,-73.96745,40.70467,-73.96748
66,"(40.77316, -73.96264, 40.77375, -73.96402)",29,40.77316,-73.96264,40.77375,-73.96402
67,"(40.78171, -73.98716, 40.78172, -73.98719)",144,40.78171,-73.98716,40.78172,-73.98719
68,"(40.74898, -74.00324, 40.74778, -74.00043)",58,40.74898,-74.00324,40.74778,-74.00043
69,"(40.70427, -73.96567, 40.7037, -73.96504)",15,40.70427,-73.96567,40.7037,-73.96504
70,"(40.70874, -74.01807, 40.70873, -74.01803)",8,40.70874,-74.01807,40.70873,-74.01803
71,"(40.71755, -73.97499, 40.71762, -73.97497)",110,40.71755,-73.97499,40.71762,-73.97497
72,"(40.78335, -73.97078, 40.78271, -73.97123)",7,40.78335,-73.97078,40.78271,-73.97123
73,"(40.70951, -73.95088, 40.70919, -73.95085)",22,40.70951,-73.95088,40.70919,-73.95085
74,"(40.72606, -74.00992, 40.72623, -74.00988)",117,40.72606,-74.00992,40.72623,-74.00988
75,"(40.71106, -73.97845, 40.71105, -73.97842)",1,40.71106,-73.97845,40.71105,-73.97842
76,"(40.6887, -73.94207, 40.68836, -73.94491)",1,40.6887,-73.94207,40.68836,-73.94491
77,"(40.70868, -73.9982, 40.70863, -73.99832)",6,40.70868,-73.9982,40.70863,-73.99832
78,"(40.73424, -73.98355, 40.7339, -73.98275)",53,40.73424,-73.98355,40.7339,-73.98275
79,"(40.78506, -73.98257, 40.78498, -73.98266)",8,40.78506,-73.98257,40.78498,-73.98266
80,"(40.71412, -73.99422, 40.71423, -73.99428)",438,40.71412,-73.99422,40.71423,-73.99428
81,"(40.70522, -74.01004, 40.70515, -74.01003)",28,40.70522,-74.01004,40.70515,-74.01003
82,"(40.75992, -73.99897, 40.76011, -73.99885)",50,40.75992,-73.99897,40.76011,-73.99885
83,"(40.70075, -73.99017, 40.70075, -73.99015)",19,40.70075,-73.99017,40.70075,-73.99015
84,"(40.71575, -74.00168, 40.71532, -74.00078)",2,40.71575,-74.00168,40.71532,-74.00078
85,"(40.77114, -73.97042, 40.77118, -73.97034)",232,40.77114,-73.97042,40.77118,-73.97034
86,"(40.71369, -73.97936, 40.71358, -73.97896)",5,40.71369,-73.97936,40.71358,-73.97896
87,"(40.76425, -73.99852, 40.76488, -73.99805)",40,40.76425,-73.99852,40.76488,-73.99805
88,"(40.69466, -74.00021, 40.69458, -74.00025)",34,40.69466,-74.00021,40.69458,-74.00025
89,"(40.7421, -73.98504, 40.74206, -73.98494)",60,40.7421,-73.98504,40.74206,-73.98494
